street,city,County,State,zip,x,y
1200 Atlantic Avenue between North & South Carolina Avenues,Atlantic City,Atlantic,New Jersey,08401,-74.4256,39.363
1200 7th Street E.,Atlantic,Cass,Iowa,50022,-94.9965,41.4043
111 First Avenue,Atlantic Highlands,Monmouth,New Jersey,07716,-74.038861,40.412777
201 East Louisville Avenue,Atmore,Escambia,Alabama,36504,-87.4926,31.0243
450 hwy 12 East,Kosciusko,Attala,Mississippi,39090,-89.579812,33.066107
3rd St N (Hwy 11) beside Jack's Restaurant,Attalla,Etowah,Alabama,39554,-86.08858520000001,34.021763899999996
"732 Park Street, Finberg Field",Attleboro,Bristol,Massachusetts,02703,-71.26258399999999,41.937681
201 County Street ,Attleboro ,Bristol,Massachusetts,02703,-71.299662,41.937847999999995
3250 Glendale Blvd,Los Angeles ,Los Angeles,California,90039,-118.25983000000001,34.118435
"DeWitt Center, B Avenue at First Street",Auburn,Placer,California,95602,-121.098,38.9218
corner of Fourth Avenue and Mt. Moriah Road,Auburn,Barrow,Georgia,30011,-83.82799999999999,34.0137
97 state street,Auburn,Cayuga,New York,13021,-76.57016899999999,42.933811999999996
Courthouse Square,Auburn,Placer,Indiana,46706,-85.0514,41.3606
Auburn Presbyterian Church,Auburn,Shawnee,Kansas,66402,-95.81573399999999,38.909597
Auburn and Squirrel Road,Auburn Hills,Oakland,Michigan,48326,-83.220416,42.6337033
23 A ST SW,Auburn,King,Washington,98001,-122.231471,47.306835
Lincoln Way & Cherry Ave.,Auburn,Placer,California,95603,-121.068,38.9007
Auburn-Folsom Rd. & Lincoln Way,Auburn,Placer,California,95603,-121.07600000000001,38.8961
Johnson Street NE and 27th Ave NE,Minneapolis,Hennepin,Minnesota,55418,-93.23712900000001,45.016819
"City Park, east side",Audubon,Audubon,Iowa,50025,-94.9375,41.7386
1842 East Winter Park Road,Orlando,Orange,Florida,32803,-81.346417,28.568415
1 Water St. Mill Park,Augusta,Kennebec,Maine,04330,-69.772623,44.321616999999996
1150 5TH STREET,AUGUSTA,Richmond,Georgia,30901,-81.9641247,33.462514
Oak Street & Park Avenue,Aurora,Lawrence,Missouri,65605,-93.720373,36.969899
2031 S. Elliott,Aurora,Lawrence,Missouri,65605,-93.7201122,36.94886939999999
