"city","County","State","zip","x","y"
"Awendaw","Charleston","South Carolina","29429","-79.644","32.9901"
"Washington","District of Columbia","District of Columbia","20020","-77.0175504","38.8792834"
"Ayer","","Massachusetts","01432","-71.5894","42.56"
"Rosepine","Beauregard","Louisiana","70659","-93.2905","30.854"
"Aztec","San Juan","New Mexico","","-107.989096","36.827899"
"Pineville ","McDonald","Missouri","64856","-94.383498","36.593521"
"Anderson","McDonald","Missouri","64831","-94.4265963","36.6396152"
"Anderson ","McDonald","Missouri","64831","-94.440808","36.67013"
"Dallas","Luzerne","Pennsylvania","18612","-75.963","41.3327"
"Bagley","Clearwater","Minnesota","56621","-95.397","47.5218"
"Lake Ozark","Camden","Missouri","65049","-92.6417","38.1973"
"Bainbridge","Decatur","Georgia","39817","-84.5755207","30.9073968"
"Bainbridge Island","Kitsap","Washington","98110","-122.519178","47.626023"
"Baker City","Baker","Oregon","97814","-117.823036","44.782836"
"Bakersfield","KERN","California","","-118.968","35.383"
"Lindsay","Kern","California","93247","-119.088","36.203"
"Bakerfield","Kern","California","93309","-119.023","35.3867"
"Bakersviile","Mitchell","North Carolina","28705","-82.1572","36.0159"
"Runville","Centre County","Pennsylvania","","-77.839","40.963"
"Baldwin City","Douglas","Kansas","66006","-95.188036","38.774763"
"Baldwin, Nassau County","","New York","11510","-73.6128","40.6424"
"Big Bear City","","California","92314","-116.811","34.2891"
"Baldwin Park","Los Angeles","California","91706","-117.965","34.0856"
"La Center ","Ballard","Kentucky","42056","-88.966491","37.071983"
"Seattle","King","Washington","98107","-122.384667","47.667591"
"Arlington","","Virginia","22207","-77.1165","38.8826"
"Arlington ","Arlington","Virginia","22203","-77.1122462","38.881259"
"Ballston Spa","Saratoga","New York","12020","-73.84984","43.002364"
"Balsam Lake","Polk","Wisconsin","54810","-92.4571","45.4511"
"Lutherville=Timonium","Baltimore","Maryland","21093","-76.6264","39.4398"
"Baltimore","Baltimore City","Maryland","21210","-76.621478","39.2929004"
"Omaha","","Nebraska","68114","-95.93","41.2339"
"Bandera","Bandera","Texas","78003","-99.074251","29.727714"
"Bangor","Van Buren","Michigan","49056","-86.1090777","42.3123539"
"Bangor","Penobscot","Maine","04401","-68.771649","44.8039587"
"banning","Riverside","California","92220","-116.889524","33.924897"
"Bar Harbor","Hancock","Maine","04609","-68.203381","44.383067"
"Barberville","Volusia","Florida","32130-0732","-81.425782","29.182618"
"Philippi","Barbour","West Virginia","26416","-80.036253","39.151808"
"Eufaula","Barbour","Alabama","36072","-85.1431","31.8929"
"Brooklyn","New York","New York","11217","-73.951143","40.677963"
"Bardstown","Nelson","Kentucky","40004","-85.465096","37.810079"
"Kearney","Clay","Missouri","64060","-94.37225","39.325678"
"Barker","Niagara","New York","14012","-78.5548023","43.3301158"
"Superior","Douglas","Wisconsin","54880","-92.0621","46.722392"
"Barnegat","Ocean","New Jersey","08005","-74.2225","39.7536"
"Barnesville","Belmont","Ohio","43713","-81.1739","39.9881"
"Barnesville","Lamar","Georgia","30204","-84.1573","33.0515"
"Barre","Worcester","Massachusetts","01005","-72.105138","42.421809"
"Barre ","Washington","Vermont","05641","-72.521067","44.211663"
"Glasgow","Barren","Kentucky","42142","-85.91528","36.99604"
"Barrington","Cook","Illinois","60010","-88.1348","42.1524"
"Barrington","Strafford","New Hampshire","03825","-71.0469","43.2228"
"Miami Beach","Miami-Dade","Florida","33139","-80.1967","25.8785"
"Barryville","Sullivan","New York","12719","-74.913476","41.477836"
"Barstow","San Bernardino","California","92312","-117.023","34.8988"
"Brooklyn","Kings","New York","","-73.979316","40.6611"
"Bartlesville","Washington","Oklahoma","74003","-95.9768","36.7465"
"Bartlett","Cook","Illinois","60103","-88.1846","41.9899"
"Bartlett","Shelby","Tennessee","38134","-89.872424","35.197448"
"Austin","","Texas","78746","-97.7557","30.3222"
"Austin","","Texas","78752","-97.7157","30.3244"
"Basalt","Eagle","Colorado","","-107.036","39.3688"
"Basin","Big Horn","Wyoming","82410","-108.0389895","44.3799574"
"Maple Grove ","","Minnesota","55369","-93.445","45.0658"
"South Yarmouth","Barnstable","Massachusetts","02664","-70.1853637695","41.6658325195"
