AREA,PERIMETER,CIT0002_,CIT0002_ID,FPL,STATFIPS,PLACFIPS,NAME,STATE,TOTALPOP,HOUSEUNT,LANDAREA,WATRAREA,LAT,LONG,observed
4e-05,0.03201,51.0,4.0,0,,,,,0,0,0.0,0.0,,,
0.00054,0.12721,52.0,7.0,70390,35,70390,Santa Clara Pueblo CDP,NM,1156,431,5385.0,0.0,+35.971822,-106.092641,
0.0,0.00611,53.0,8.0,0,,,,,0,0,0.0,0.0,,,
0.00053,0.10529,54.0,1.0,65070,35,65070,Roy village,NM,362,212,5291.0,0.0,+35.945371,-104.196277,
0.0012,0.22277,55.0,5.0,50930,35,50930,Nambe CDP,NM,1246,514,12007.0,0.0,+35.900235,-105.971791,
0.00085,0.16749,56.0,6.0,68010,35,68010,San Ildefonso Pueblo CDP,NM,447,184,8003.0,487.0,+35.898052,-106.127502,
0.00058,0.11291,57.0,1.0,51420,35,51420,Navajo CDP,NM,1985,588,5855.0,0.0,+35.896328,-109.031396,
0.00281,0.25736,58.0,1.0,42320,35,42320,Los Alamos CDP,NM,11455,5163,28143.0,0.0,+35.893777,-106.283852,
0.0006,0.11392,59.0,7.0,58630,35,58630,Pojoaque CDP,NM,1037,402,6038.0,0.0,+35.893572,-106.009868,
0.00017,0.06354,60.0,8.0,34925,35,34925,Jaconita CDP,NM,375,149,1747.0,0.0,+35.892549,-106.034819,
0.0001,0.0434,61.0,9.0,19640,35,19640,Cuyamungue CDP,NM,329,126,1041.0,0.0,+35.869799,-106.008537,
0.00092,0.14922,62.0,2.0,78440,35,78440,Tohatchi CDP,NM,661,266,8894.0,340.0,+35.850247,-108.750068,
0.0,0.00531,63.0,2.0,78440,35,78440,Tohatchi CDP,NM,661,266,8894.0,340.0,+35.850247,-108.750068,
0.00185,0.20279,64.0,2.0,84740,35,84740,White Rock CDP,NM,6192,2198,18600.0,0.0,+35.803800,-106.210422,
0.00128,0.16868,65.0,3.0,48340,35,48340,Mexican Springs CDP,NM,242,82,12819.0,0.0,+35.787549,-108.807269,
0.00271,0.26396,66.0,10.0,77040,35,77040,Tesuque CDP,NM,1490,743,27194.0,0.0,+35.766550,-105.923330,
0.00124,0.18756,67.0,2.0,35320,35,35320,Jemez Springs village,NM,413,223,12438.0,0.0,+35.773654,-106.688359,
0.00019,0.05809,68.0,2.0,50300,35,50300,Mosquero village,NM,164,96,2575.0,0.0,+35.774547,-103.954276,
7e-05,0.04013,69.0,1.0,50300,35,50300,Mosquero village,NM,164,96,2575.0,0.0,+35.774547,-103.954276,
0.00949,0.90508,70.0,11.0,70500,35,70500,Santa Fe city,NM,55859,24681,94788.0,194.0,+35.678502,-105.954149,
6e-05,0.03325,71.0,12.0,0,,,,,0,0,0.0,0.0,,,
0.00173,0.22133,72.0,4.0,18940,35,18940,Crownpoint CDP,NM,2108,673,17361.0,0.0,+35.688067,-108.146061,
0.00061,0.21638,73.0,13.0,1220,35,01220,Agua Fria CDP,NM,3717,1400,6034.0,89.0,+35.647689,-106.021531,
2e-05,0.02518,74.0,14.0,0,,,,,0,0,0.0,0.0,,,
3e-05,0.02254,75.0,15.0,0,,,,,0,0,0.0,0.0,,,
0.00012,0.04884,76.0,16.0,0,,,,,0,0,0.0,0.0,,,
