function,runtime_seconds,target_stdev,target_variance,algo,target_is_continuous,target_num_unique,num_rows,target_is_numerical,column_name,test_accuracy,training_accuracy,test_mse,training_mse,colums,rows,SFS,dataset
run_regressor,102.834285,,,RFR,FALSE,5,21114,FALSE,race,,,0.533885429,0.511324355,14,32562,TRUE,adult
run_regressor,4.446316004,,,LinR,FALSE,5,21114,FALSE,race,,,0.681625729,0.670546083,14,32562,TRUE,adult
run_classifier,21.37334991,,,LogRC,FALSE,2,21114,FALSE,sex,0.775419982,0.771715449,,,14,32562,TRUE,adult
run_classifier,8.038242102,,,DTC,FALSE,2,21114,FALSE,sex,0.835985853,0.850667803,,,14,32562,TRUE,adult
run_classifier,95.04563904,,,RFC,FALSE,2,21114,FALSE,sex,0.835654288,0.849767926,,,14,32562,TRUE,adult
run_regressor,99.09826398,,,RFR,FALSE,2,21114,FALSE,sex,,,0.100861536,0.097992114,14,32562,TRUE,adult
run_regressor,3.811145067,,,LinR,FALSE,2,21114,FALSE,sex,,,0.139564892,0.140660697,14,32562,TRUE,adult
run_classifier,2244.060722,0.073173511,0.005354363,LogRC,FALSE,113,21114,TRUE,capital-gain,0.912024757,0.917495501,,,14,32562,TRUE,adult
run_classifier,20.69254804,0.073173511,0.005354363,DTC,FALSE,113,21114,TRUE,capital-gain,0.911803714,0.917211329,,,14,32562,TRUE,adult
run_classifier,116.2968202,0.073173511,0.005354363,RFC,FALSE,113,21114,TRUE,capital-gain,0.912024757,0.917495501,,,14,32562,TRUE,adult
run_regressor,103.2159059,0.073173511,0.005354363,RFR,FALSE,113,21114,TRUE,capital-gain,,,53730264.81,49757945.3,14,32562,TRUE,adult
run_regressor,4.406141996,0.073173511,0.005354363,LinR,FALSE,113,21114,TRUE,capital-gain,,,56053429.3,52162590.87,14,32562,TRUE,adult
run_classifier,1679.496925,0.092540491,0.008563742,LogRC,FALSE,86,21114,TRUE,capital-loss,0.95280725,0.95263806,,,14,32562,TRUE,adult
run_classifier,17.426548,0.092540491,0.008563742,DTC,FALSE,86,21114,TRUE,capital-loss,0.952586207,0.952495974,,,14,32562,TRUE,adult
run_classifier,112.183032,0.092540491,0.008563742,RFC,FALSE,86,21114,TRUE,capital-loss,0.95280725,0.95263806,,,14,32562,TRUE,adult
run_regressor,102.4613101,0.092540491,0.008563742,RFR,FALSE,86,21114,TRUE,capital-loss,,,161578.7828,157649.0284,14,32562,TRUE,adult
run_regressor,4.555385113,0.092540491,0.008563742,LinR,FALSE,86,21114,TRUE,capital-loss,,,162910.8131,160211.7655,14,32562,TRUE,adult
run_classifier,1931.681199,0.121582993,0.014782424,LogRC,FALSE,92,21114,TRUE,hours-per-week,0.469053935,0.473950933,,,14,32562,TRUE,adult
run_classifier,21.23969793,0.121582993,0.014782424,DTC,FALSE,92,21114,TRUE,hours-per-week,0.472369584,0.47655584,,,14,32562,TRUE,adult
run_classifier,113.5276122,0.121582993,0.014782424,RFC,FALSE,92,21114,TRUE,hours-per-week,0.470159151,0.475845411,,,14,32562,TRUE,adult
run_regressor,103.609086,0.121582993,0.014782424,RFR,FALSE,92,21114,TRUE,hours-per-week,,,120.431338,114.7785448,14,32562,TRUE,adult
run_regressor,4.159389973,0.121582993,0.014782424,LinR,FALSE,92,21114,TRUE,hours-per-week,,,129.5482974,125.7482551,14,32562,TRUE,adult
